string,case,gender,number,value,order,num_class,scale
нуль,nominative,,singular,0,,quantitative,FALSE
нулі,nominative,,plural,0,,quantitative,FALSE
нуля,genetive,,singular,0,,quantitative,FALSE
нулів,genetive,,plural,0,,quantitative,FALSE
нулю нулеві,dative,,singular,0,,quantitative,FALSE
нулям,dative,,plural,0,,quantitative,0
нуль,accusative,,singular,0,,quantitative,0
нулі,accusative,,plural,0,,quantitative,0
нулем,instrumental,,singular,0,,quantitative,0
нулями,instrumental,,plural,0,,quantitative,0
нулі нулю,prepositional,,singular,0,,quantitative,0
нулях,prepositional,,plural,0,,quantitative,0
нульовий,nominative,masculine,singular,0,,ordinal,0
нульова,nominative,feminine,singular,0,,ordinal,0
нульове,nominative,neuter,singular,0,,ordinal,0
нульові,nominative,,plural,0,,ordinal,0
нульового,genetive,masculine,singular,0,,ordinal,0
нульової,genetive,feminine,singular,0,,ordinal,0
нульового,genetive,neuter,singular,0,,ordinal,0
нульових,genetive,,plural,0,,ordinal,0
нульовому,dative,masculine,singular,0,,ordinal,0
нульовій,dative,feminine,singular,0,,ordinal,
нульовому,dative,neuter,singular,0,,ordinal,
нульовим,dative,,plural,0,,ordinal,
нульовий нульового,accusative,masculine,singular,0,,ordinal,
нульову,accusative,feminine,singular,0,,ordinal,
нульове,accusative,neuter,singular,0,,ordinal,
нульові нульових,accusative,,plural,0,,ordinal,
нульовим,instrumental,masculine,singular,0,,ordinal,
нульовою,instrumental,feminine,singular,0,,ordinal,
нульовим,instrumental,neuter,singular,0,,ordinal,
нульовими,instrumental,,plural,0,,ordinal,
нульовому нульовім,prepositional,masculine,singular,0,,ordinal,
нульовій,prepositional,feminine,singular,0,,ordinal,
нульовому нульовім,prepositional,neuter,singular,0,,ordinal,
нульових,prepositional,,plural,0,,ordinal,
один,nominative,masculine,singular,1,0,quantitative,
одна,nominative,feminine,singular,1,0,quantitative,
одне одно,nominative,neuter,singular,1,0,quantitative,
одні,nominative,,plural,1,0,quantitative,
одного,genetive,masculine,singular,1,0,quantitative,
однієї одної,genetive,feminine,singular,1,0,quantitative,
одного,genetive,neuter,singular,1,0,quantitative,
одних,genetive,,plural,1,0,quantitative,
одному,dative,masculine,singular,1,0,quantitative,
одній,dative,feminine,singular,1,0,quantitative,
одному,dative,neuter,singular,1,0,quantitative,
одним,dative,,plural,1,0,quantitative,
один одного,accusative,masculine,singular,1,0,quantitative,
одну,accusative,feminine,singular,1,0,quantitative,
одне,accusative,neuter,singular,1,0,quantitative,
одні одних,accusative,,plural,1,0,quantitative,
одним,instrumental,masculine,singular,1,0,quantitative,
однією одною,instrumental,feminine,singular,1,0,quantitative,
одним,instrumental,neuter,singular,1,0,quantitative,
одними,instrumental,,plural,1,0,quantitative,
одному однім,prepositional,masculine,singular,1,0,quantitative,
одній,prepositional,feminine,singular,1,0,quantitative,
одному однім,prepositional,neuter,singular,1,0,quantitative,
одних,prepositional,,plural,1,0,quantitative,
перший,nominative,masculine,singular,1,0,ordinal,
перша,nominative,feminine,singular,1,0,ordinal,
перше,nominative,neuter,singular,1,0,ordinal,
перші,nominative,,plural,1,0,ordinal,
першого,genetive,masculine,singular,1,0,ordinal,
першої,genetive,feminine,singular,1,0,ordinal,
першого,genetive,neuter,singular,1,0,ordinal,
перших,genetive,,plural,1,0,ordinal,
першому,dative,masculine,singular,1,0,ordinal,
першій,dative,feminine,singular,1,0,ordinal,
першому,dative,neuter,singular,1,0,ordinal,
першим,dative,,plural,1,0,ordinal,
перший першого,accusative,masculine,singular,1,0,ordinal,
першу,accusative,feminine,singular,1,0,ordinal,
перше,accusative,neuter,singular,1,0,ordinal,
перші перших,accusative,,plural,1,0,ordinal,
першим,instrumental,masculine,singular,1,0,ordinal,
першою,instrumental,feminine,singular,1,0,ordinal,
першим,instrumental,neuter,singular,1,0,ordinal,
першими,instrumental,,plural,1,0,ordinal,
першому першім,prepositional,masculine,singular,1,0,ordinal,
першій,prepositional,feminine,singular,1,0,ordinal,
першому першім,prepositional,neuter,singular,1,0,ordinal,
перших,prepositional,,plural,1,0,ordinal,
два,nominative,masculine,plural,2,0,quantitative,
двоє,nominative,,plural,2,0,collective,
дві,nominative,feminine,plural,2,0,quantitative,
два,nominative,neuter,plural,2,0,quantitative,
двох,genetive,,plural,2,0,quantitative,
двом,dative,,plural,2,0,quantitative,
два двох,accusative,,plural,2,0,quantitative,
два двох,accusative,masculine,plural,2,0,quantitative,
дві двох,accusative,feminine,plural,2,0,quantitative,
два двох,accusative,neuter,plural,2,0,quantitative,
двома,instrumental,,plural,2,0,quantitative,
двох,prepositional,,plural,2,0,quantitative,
другий,nominative,masculine,singular,2,0,ordinal,
друга,nominative,feminine,singular,2,0,ordinal,
друге,nominative,neuter,singular,2,0,ordinal,
другі,nominative,,plural,2,0,ordinal,
другого,genetive,masculine,singular,2,0,ordinal,
другої,genetive,feminine,singular,2,0,ordinal,
другого,genetive,neuter,singular,2,0,ordinal,
других,genetive,,plural,2,0,ordinal,
другому,dative,masculine,singular,2,0,ordinal,
другій,dative,feminine,singular,2,0,ordinal,
другому,dative,neuter,singular,2,0,ordinal,
другим,dative,,plural,2,0,ordinal,
другий другого,accusative,masculine,singular,2,0,ordinal,
другу,accusative,feminine,singular,2,0,ordinal,
